,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
0,1.155328392982483,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9470537304878235,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.8670636415481567,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.8517276048660278,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.8246356248855591,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.7880629301071167,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.858514130115509,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.7927411198616028,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.790065348148346,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.7839059233665466,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.7991897463798523,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.7415028214454651,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.7859807014465332,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.8614161014556885,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.7530141472816467,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.7961604595184326,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.7231664657592773,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.7524216771125793,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.9235409498214722,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.7760747671127319,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.7087467312812805,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.776377260684967,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.7374095916748047,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.7401496171951294,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.7324948310852051,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.7262865304946899,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.7432307600975037,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.74367755651474,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.7228143215179443,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.768365740776062,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.7318716049194336,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.7386274933815002,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.7163873910903931,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.8449932336807251,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.7470852732658386,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.6987444162368774,,,,,,,,,,,,,,,,,,,,,,,,,
