,minibatch_loss,epoch_avg_loss,epoch_val_loss,learning_rate,evaluation_loss,training_confusion_matrix,validation_confusion_matrix,evaluation_confusion_matrix,train_ious,train_dices,train_precision,train_recall,train_specificity,train_sensitivity,val_ious,val_dices,val_precision,val_recall,val_specificity,val_sensitivity,test_ious,test_dices,test_precision,test_recall,test_specificity,test_sensitivity
0,0.425111323595047,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.38109731674194336,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.36064979434013367,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.3217026889324188,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.32240167260169983,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.2976398766040802,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.2888180613517761,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.2930348515510559,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.278865247964859,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.27457869052886963,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.27762895822525024,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.26917508244514465,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.2718120217323303,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.2610021233558655,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.2726874351501465,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.2632226049900055,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.2547530233860016,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.2629467248916626,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.2501639723777771,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.27758875489234924,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.25242993235588074,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.26095283031463623,,,,,,,,,,,,,,,,,,,,,,,,,
22,,0.29173925518989563,,0.001,,"[[75.37583353  2.62106965 15.90784778]
 [ 0.18082177  0.1707203   0.08444122]
 [ 1.28025834  0.10576023  4.27324718]]",,,[0.79038617 0.05397736 0.19736445],[0.88292256 0.10242603 0.32966479],[0.98098466 0.05891884 0.21086277],[0.80268392 0.39157533 0.75508862],[0.76029197 0.9726123  0.83048373],[0.80268392 0.39157533 0.75508862],,,,,,,,,,,,
23,,,0.28724340881620136,0.001,,,"[[7.79386712e+01 3.34855135e+00 1.23322583e+01]
 [1.55661850e-01 4.33571629e-01 3.07052855e-02]
 [1.03435617e+00 1.71047796e-01 4.55517643e+00]]",,,,,,,,[0.82205551 0.10473914 0.25134027],[0.9023386  0.18961786 0.40171371],[0.98496098 0.10967693 0.26924806],[0.83250484 0.69937815 0.79074956],[0.81349198 0.96458445 0.86881325],[0.83250484 0.69937815 0.79074956],,,,,,
24,0.26591619849205017,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.24767513573169708,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.2639733850955963,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.25994592905044556,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.2484361082315445,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.25741347670555115,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.2462272197008133,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.24371540546417236,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.26396414637565613,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.25341829657554626,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.2570240795612335,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.25110581517219543,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.24739935994148254,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.24102343618869781,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.24922914803028107,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.2651839852333069,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.25052064657211304,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.24200458824634552,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.24310846626758575,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.25139549374580383,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.25977617502212524,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.2597234547138214,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0.25309911370277405,,0.001,,"[[8.65555014e+01 6.00913058e-01 6.74833645e+00]
 [1.43993792e-01 2.53614162e-01 3.83753422e-02]
 [1.54839826e+00 3.76743699e-02 4.07319312e+00]]",,,[0.90541933 0.2360144  0.32726984],[0.95036228 0.38189587 0.49314741],[0.9808223  0.28425657 0.37506711],[0.92173719 0.58170614 0.7197388 ],[0.72234243 0.99358616 0.9280617 ],[0.92173719 0.58170614 0.7197388 ],,,,,,,,,,,,
47,,,0.25248365317072186,0.001,,,"[[8.56947904e+01 9.60669946e-01 6.96402050e+00]
 [1.99365364e-01 4.02268909e-01 1.83044918e-02]
 [1.55368987e+00 7.46631118e-02 4.13222742e+00]]",,,,,,,,[0.89852691 0.24302287 0.32427671],[0.94655167 0.39101915 0.48974162],[0.97995313 0.27981939 0.37178532],[0.91535212 0.64888491 0.71732831],[0.72524881 0.98958208 0.92590866],[0.91535212 0.64888491 0.71732831],,,,,,
48,0.24331149458885193,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.2433900535106659,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.25405755639076233,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.24748317897319794,,,,,,,,,,,,,,,,,,,,,,,,,
52,0.25123167037963867,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.24290890991687775,,,,,,,,,,,,,,,,,,,,,,,,,
54,0.25518324971199036,,,,,,,,,,,,,,,,,,,,,,,,,
55,0.25792065262794495,,,,,,,,,,,,,,,,,,,,,,,,,
56,0.25046831369400024,,,,,,,,,,,,,,,,,,,,,,,,,
57,0.23868533968925476,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.24409496784210205,,,,,,,,,,,,,,,,,,,,,,,,,
59,0.23789900541305542,,,,,,,,,,,,,,,,,,,,,,,,,
60,0.2533115744590759,,,,,,,,,,,,,,,,,,,,,,,,,
61,0.24536287784576416,,,,,,,,,,,,,,,,,,,,,,,,,
62,0.24384014308452606,,,,,,,,,,,,,,,,,,,,,,,,,
63,0.24366842210292816,,,,,,,,,,,,,,,,,,,,,,,,,
64,0.2493119239807129,,,,,,,,,,,,,,,,,,,,,,,,,
65,0.2506168484687805,,,,,,,,,,,,,,,,,,,,,,,,,
66,0.25704076886177063,,,,,,,,,,,,,,,,,,,,,,,,,
67,0.2486218512058258,,,,,,,,,,,,,,,,,,,,,,,,,
68,0.2479608654975891,,,,,,,,,,,,,,,,,,,,,,,,,
69,0.23513714969158173,,,,,,,,,,,,,,,,,,,,,,,,,
